model,method,benchmark,slice,n,public_evaluated_n,public_correct,public_accuracy,strict_paired_n,strict_paired_accuracy,public_paired_accuracy
gemma4_12b,memoryos,longmemeval,multi-session,133,133,63,0.47368421052631576,133,0.3684210526315789,0.47368421052631576
gemma4_12b,memoryos,longmemeval,overall,500,500,330,0.66,500,0.57,0.66
gemma4_12b,memoryos,longmemeval,single-session-assistant,56,56,53,0.9464285714285714,56,0.9464285714285714,0.9464285714285714
gemma4_12b,memoryos,longmemeval,single-session-preference,30,30,21,0.7,30,0.5,0.7
gemma4_12b,memoryos,longmemeval,single-session-user,70,70,67,0.9571428571428572,70,0.8571428571428571,0.9571428571428572
gemma4_12b,memoryos,longmemeval,temporal-reasoning,133,133,74,0.556390977443609,133,0.42105263157894735,0.556390977443609
gemma4_12b,mempalace,locomo,adversarial,446,446,108,0.242152466367713,446,0.16591928251121077,0.242152466367713
gemma4_12b,mempalace,locomo,cat1-4,1540,1540,1316,0.8545454545454545,1540,0.7993506493506494,0.8545454545454545
gemma4_12b,mempalace,locomo,multi-hop,282,282,242,0.8581560283687943,282,0.6560283687943262,0.8581560283687943
gemma4_12b,mempalace,locomo,open-ended,96,96,51,0.53125,96,0.5,0.53125
gemma4_12b,mempalace,locomo,overall,1986,1986,1424,0.7170191339375629,1986,0.6570996978851964,0.7170191339375629
gemma4_12b,mempalace,locomo,single-hop,841,841,757,0.9001189060642093,841,0.8858501783590963,0.9001189060642093
gemma4_12b,mempalace,locomo,temporal,321,321,266,0.8286604361370716,321,0.7881619937694704,0.8286604361370716
gemma4_12b,mempalace,longmemeval,knowledge-update,78,78,62,0.7948717948717948,78,0.7692307692307693,0.7948717948717948
gemma4_12b,mempalace,longmemeval,multi-session,133,133,81,0.6090225563909775,133,0.5864661654135338,0.6090225563909775
gemma4_12b,mempalace,longmemeval,overall,500,500,364,0.728,500,0.696,0.728
gemma4_12b,mempalace,longmemeval,single-session-assistant,56,56,53,0.9464285714285714,56,0.9464285714285714,0.9464285714285714
gemma4_12b,mempalace,longmemeval,single-session-preference,30,30,15,0.5,30,0.4666666666666667,0.5
gemma4_12b,mempalace,longmemeval,single-session-user,70,70,62,0.8857142857142857,70,0.8,0.8857142857142857
gemma4_12b,mempalace,longmemeval,temporal-reasoning,133,133,91,0.6842105263157895,133,0.6541353383458647,0.6842105263157895
gemma4_12b,zep_local,locomo,adversarial,446,446,98,0.21973094170403587,446,0.06726457399103139,0.21973094170403587
gemma4_12b,zep_local,locomo,cat1-4,1540,1540,1071,0.6954545454545454,1540,0.6201298701298701,0.6954545454545454
gemma4_12b,zep_local,locomo,multi-hop,282,282,194,0.6879432624113475,282,0.475177304964539,0.6879432624113475
gemma4_12b,zep_local,locomo,open-ended,96,96,25,0.2604166666666667,96,0.22916666666666666,0.2604166666666667
gemma4_12b,zep_local,locomo,overall,1986,1986,1169,0.5886203423967774,1986,0.4959718026183283,0.5886203423967774
gemma4_12b,zep_local,locomo,single-hop,841,841,630,0.7491082045184304,841,0.7146254458977408,0.7491082045184304
gemma4_12b,zep_local,locomo,temporal,321,321,222,0.6915887850467289,321,0.616822429906542,0.6915887850467289
gemma4_12b,zep_local,longmemeval,knowledge-update,78,78,70,0.8974358974358975,78,0.8846153846153846,0.8974358974358975
gemma4_12b,zep_local,longmemeval,multi-session,133,133,84,0.631578947368421,133,0.5263157894736842,0.631578947368421
gemma4_12b,zep_local,longmemeval,overall,500,500,378,0.756,500,0.668,0.756
gemma4_12b,zep_local,longmemeval,single-session-assistant,56,56,54,0.9642857142857143,56,0.9642857142857143,0.9642857142857143
gemma4_12b,zep_local,longmemeval,single-session-preference,30,30,20,0.6666666666666666,30,0.43333333333333335,0.6666666666666666
gemma4_12b,zep_local,longmemeval,single-session-user,70,70,66,0.9428571428571428,70,0.9142857142857143,0.9428571428571428
gemma4_12b,zep_local,longmemeval,temporal-reasoning,133,133,84,0.631578947368421,133,0.48120300751879697,0.631578947368421
qwen3_30b,evermemos,locomo,adversarial,446,446,125,0.2802690582959641,446,0.19730941704035873,0.2802690582959641
